,stature,weightkg,chestcircumference,waistcircumference,size,color
564,1619,751,1048,925,xl,royalblue
565,1675,738,996,927,xl,royalblue
566,1634,642,988,837,xl,royalblue
567,1679,595,892,802,large,cornflowerblue
568,1614,569,848,846,medium,lightsteelblue
569,1684,596,861,778,large,cornflowerblue
570,1597,631,937,853,large,cornflowerblue
571,1610,589,855,730,medium,lightsteelblue
572,1688,746,943,886,large,cornflowerblue
573,1725,864,997,929,xl,royalblue
574,1609,608,936,900,large,cornflowerblue
575,1585,504,810,759,medium,lightsteelblue
576,1562,549,887,816,large,cornflowerblue
577,1547,530,897,770,large,cornflowerblue
578,1611,692,961,895,large,cornflowerblue
579,1740,713,1004,880,xl,royalblue
580,1555,705,972,904,xl,royalblue
581,1650,699,971,938,xl,royalblue
582,1583,659,913,906,large,cornflowerblue
583,1647,632,858,750,medium,lightsteelblue
584,1532,696,946,845,large,cornflowerblue
585,1619,593,920,811,large,cornflowerblue
586,1704,695,902,888,large,cornflowerblue
587,1689,797,970,774,large,cornflowerblue
588,1657,619,911,846,large,cornflowerblue
589,1647,677,926,861,large,cornflowerblue
590,1670,544,892,724,large,cornflowerblue
591,1496,646,971,928,xl,royalblue
592,1717,882,1117,1026,xxl,blue
593,1531,634,943,915,large,cornflowerblue
594,1666,765,981,987,xl,royalblue
595,1574,654,892,915,large,cornflowerblue
596,1663,837,1000,888,xl,royalblue
597,1617,652,975,863,xl,royalblue
598,1585,624,1005,857,xl,royalblue
599,1647,994,1195,1037,xxxl,midnightblue
600,1643,748,1016,950,xl,royalblue
601,1677,649,901,877,large,cornflowerblue
602,1670,542,889,665,medium,lightsteelblue
603,1651,814,983,885,xl,royalblue
604,1525,563,883,812,large,cornflowerblue
605,1715,967,1152,1096,xxl,blue
606,1602,837,1148,1006,xxl,blue
607,1570,502,855,685,medium,lightsteelblue
608,1662,657,901,944,large,cornflowerblue
609,1561,707,983,973,xl,royalblue
610,1543,669,968,975,large,cornflowerblue
611,1562,597,923,853,large,cornflowerblue
612,1627,720,897,885,large,cornflowerblue
613,1678,750,940,816,large,cornflowerblue
614,1608,673,990,982,xl,royalblue
615,1672,784,906,856,large,cornflowerblue
616,1661,516,769,710,medium,lightsteelblue
617,1574,630,1010,890,xl,royalblue
618,1670,793,1046,990,xl,royalblue
619,1585,564,895,793,large,cornflowerblue
620,1574,687,997,962,xl,royalblue
621,1617,590,846,727,medium,lightsteelblue
622,1592,603,904,770,large,cornflowerblue
623,1705,699,991,930,xl,royalblue
624,1620,573,878,849,large,cornflowerblue
625,1579,654,957,882,large,cornflowerblue
626,1661,603,876,749,large,cornflowerblue
627,1595,771,955,935,large,cornflowerblue
628,1646,767,1062,903,xl,royalblue
629,1522,667,932,890,large,cornflowerblue
630,1760,783,928,900,large,cornflowerblue
631,1505,518,850,752,medium,lightsteelblue
632,1708,663,838,803,medium,lightsteelblue
633,1659,655,938,861,large,cornflowerblue
634,1613,690,1004,906,xl,royalblue
635,1666,680,905,870,large,cornflowerblue
636,1565,609,918,860,large,cornflowerblue
637,1578,646,859,785,medium,lightsteelblue
638,1480,540,880,770,large,cornflowerblue
639,1636,530,829,756,medium,lightsteelblue
640,1608,789,945,901,large,cornflowerblue
641,1552,431,825,658,small,slategrey
642,1559,746,985,873,xl,royalblue
643,1595,712,998,1033,xl,royalblue
644,1674,727,1016,863,xl,royalblue
645,1661,613,845,761,medium,lightsteelblue
646,1550,574,878,792,large,cornflowerblue
647,1597,655,902,832,large,cornflowerblue
648,1543,577,884,753,large,cornflowerblue
649,1636,585,837,760,medium,lightsteelblue
650,1563,627,923,913,large,cornflowerblue
651,1506,535,905,779,large,cornflowerblue
652,1689,652,851,803,medium,lightsteelblue
653,1600,702,992,878,xl,royalblue
654,1827,931,1021,1080,xl,royalblue
655,1594,532,824,742,medium,lightsteelblue
656,1768,735,974,817,xl,royalblue
657,1658,557,783,759,medium,lightsteelblue
658,1629,655,945,865,large,cornflowerblue
659,1672,691,975,855,xl,royalblue
660,1783,965,1013,967,xl,royalblue
661,1571,702,970,992,large,cornflowerblue
662,1525,523,838,736,medium,lightsteelblue
663,1595,660,923,876,large,cornflowerblue
664,1708,814,1009,947,xl,royalblue
665,1818,952,1029,1000,xl,royalblue
666,1688,658,832,802,medium,lightsteelblue
667,1568,503,782,695,medium,lightsteelblue
668,1555,547,885,807,large,cornflowerblue
669,1645,688,988,918,xl,royalblue
